"Population
(X-axis)","Lower 2s
(0.025) limit","Upper 2s
(0.025) limit","Lower 3s
(0.001) limit","Upper 3s
(0.001) limit","Baseline
(Average Y)",Row number
    1,  0.00, 43.17,  0.00, 65.68,  4.14,  1
    2,  0.00, 31.74,  0.00, 47.66,  4.14,  2
    3,  0.00, 26.67,  0.00, 39.67,  4.14,  3
    4,  0.00, 23.66,  0.00, 34.91,  4.14,  4
    5,  0.00, 21.59,  0.00, 31.66,  4.14,  5
    6,  0.00, 20.07,  0.00, 29.26,  4.14,  6
    7,  0.00, 18.89,  0.00, 27.40,  4.14,  7
    8,  0.00, 17.94,  0.00, 25.90,  4.14,  8
    9,  0.00, 17.15,  0.00, 24.65,  4.14,  9
   10,  0.00, 16.48,  0.00, 23.60,  4.14, 10
   11,  0.00, 15.91,  0.00, 22.69,  4.14, 11
   12,  0.00, 15.41,  0.00, 21.90,  4.14, 12
   13,  0.00, 14.96,  0.00, 21.21,  4.14, 13
   14,  0.00, 14.57,  0.00, 20.59,  4.14, 14
   15,  0.00, 14.22,  0.00, 20.03,  4.14, 15
   16,  0.00, 13.90,  0.00, 19.52,  4.14, 16
   17,  0.00, 13.61,  0.00, 19.06,  4.14, 17
   18,  0.00, 13.34,  0.00, 18.64,  4.14, 18
   19,  0.00, 13.09,  0.00, 18.26,  4.14, 19
   20,  0.00, 12.87,  0.00, 17.90,  4.14, 20
   21,  0.00, 12.66,  0.00, 17.57,  4.14, 21
   22,  0.00, 12.46,  0.00, 17.26,  4.14, 22
   23,  0.00, 12.28,  0.00, 16.97,  4.14, 23
   24,  0.00, 12.11,  0.00, 16.70,  4.14, 24
   25,  0.00, 11.94,  0.00, 16.45,  4.14, 25
   26,  0.00, 11.79,  0.00, 16.21,  4.14, 26
   27,  0.00, 11.65,  0.00, 15.98,  4.14, 27
   28,  0.00, 11.51,  0.00, 15.77,  4.14, 28
   29,  0.00, 11.39,  0.00, 15.57,  4.14, 29
   30,  0.00, 11.26,  0.00, 15.37,  4.14, 30
   31,  0.00, 11.15,  0.00, 15.19,  4.14, 31
   32,  0.00, 11.04,  0.00, 15.02,  4.14, 32
   33,  0.00, 10.93,  0.00, 14.85,  4.14, 33
   34,  0.00, 10.83,  0.00, 14.69,  4.14, 34
   35,  0.00, 10.74,  0.00, 14.54,  4.14, 35
   36,  0.00, 10.64,  0.00, 14.40,  4.14, 36
   37,  0.00, 10.56,  0.00, 14.26,  4.14, 37
   38,  0.00, 10.47,  0.00, 14.12,  4.14, 38
   40,  0.00, 10.31,  0.00, 13.87,  4.14, 39
   42,  0.00, 10.16,  0.00, 13.63,  4.14, 40
   44,  0.00, 10.02,  0.00, 13.42,  4.14, 41
   46,  0.00,  9.89,  0.00, 13.21,  4.14, 42
   48,  0.00,  9.77,  0.00, 13.02,  4.14, 43
   50,  0.00,  9.66,  0.00, 12.84,  4.14, 44
   52,  0.00,  9.55,  0.00, 12.67,  4.14, 45
   54,  0.00,  9.45,  0.00, 12.51,  4.14, 46
   56,  0.00,  9.35,  0.00, 12.36,  4.14, 47
   58,  0.00,  9.26,  0.00, 12.22,  4.14, 48
   60,  0.00,  9.18,  0.00, 12.08,  4.14, 49
   62,  0.00,  9.10,  0.00, 11.95,  4.14, 50
   64,  0.00,  9.02,  0.00, 11.83,  4.14, 51
   67,  0.00,  8.91,  0.00, 11.66,  4.14, 52
   70,  0.00,  8.80,  0.00, 11.49,  4.14, 53
   73,  0.00,  8.71,  0.00, 11.34,  4.14, 54
   76,  0.00,  8.62,  0.00, 11.20,  4.14, 55
   79,  0.00,  8.53,  0.00, 11.06,  4.14, 56
   82,  0.00,  8.45,  0.00, 10.93,  4.14, 57
   85,  0.00,  8.37,  0.00, 10.81,  4.14, 58
   88,  0.00,  8.30,  0.00, 10.70,  4.14, 59
   91,  0.05,  8.23,  0.00, 10.59,  4.14, 60
   95,  0.13,  8.14,  0.00, 10.45,  4.14, 61
   99,  0.21,  8.06,  0.00, 10.32,  4.14, 62
  103,  0.29,  7.98,  0.00, 10.20,  4.14, 63
  107,  0.36,  7.91,  0.00, 10.09,  4.14, 64
  111,  0.43,  7.84,  0.00,  9.98,  4.14, 65
  115,  0.50,  7.78,  0.00,  9.88,  4.14, 66
  119,  0.56,  7.72,  0.00,  9.78,  4.14, 67
  124,  0.63,  7.64,  0.00,  9.66,  4.14, 68
  129,  0.70,  7.57,  0.00,  9.56,  4.14, 69
  134,  0.77,  7.51,  0.00,  9.45,  4.14, 70
  139,  0.83,  7.45,  0.00,  9.36,  4.14, 71
  144,  0.88,  7.39,  0.00,  9.27,  4.14, 72
  150,  0.95,  7.32,  0.00,  9.16,  4.14, 73
  156,  1.01,  7.26,  0.00,  9.07,  4.14, 74
  162,  1.07,  7.20,  0.00,  8.97,  4.14, 75
  168,  1.13,  7.15,  0.00,  8.89,  4.14, 76
  175,  1.19,  7.09,  0.00,  8.79,  4.14, 77
  182,  1.24,  7.03,  0.00,  8.70,  4.14, 78
  189,  1.30,  6.98,  0.00,  8.61,  4.14, 79
  196,  1.35,  6.93,  0.00,  8.53,  4.14, 80
  204,  1.40,  6.87,  0.00,  8.45,  4.14, 81
  212,  1.46,  6.82,  0.00,  8.36,  4.14, 82
  220,  1.51,  6.77,  0.00,  8.29,  4.14, 83
  229,  1.56,  6.72,  0.07,  8.20,  4.14, 84
  238,  1.61,  6.67,  0.15,  8.13,  4.14, 85
  247,  1.65,  6.62,  0.22,  8.05,  4.14, 86
