IndicatorID,IndicatorName,AreaCode,Sex,Age,Value,Count,Denominator,TimeperiodSortable
93553,Deprivation score (IMD 2019),nE38000217,Persons,All ages,,,,20100000
93553,Deprivation score (IMD 2019),nE38000006,Persons,All ages,29.568,,,20150000
93553,Deprivation score (IMD 2019),nE38000007,Persons,All ages,19.559,,,20150000
93553,Deprivation score (IMD 2019),nE38000008,Persons,All ages,22.729,,,20150000
93553,Deprivation score (IMD 2019),nE38000014,Persons,All ages,34.189,,,20150000
93553,Deprivation score (IMD 2019),nE38000015,Persons,All ages,41.997,,,20150000
93553,Deprivation score (IMD 2019),nE38000016,Persons,All ages,28.42,,,20150000
93553,Deprivation score (IMD 2019),nE38000021,Persons,All ages,23.441,,,20150000
93553,Deprivation score (IMD 2019),nE38000024,Persons,All ages,21.769,,,20150000
93553,Deprivation score (IMD 2019),nE38000025,Persons,All ages,24.607,,,20150000
93553,Deprivation score (IMD 2019),nE38000028,Persons,All ages,19.676,,,20150000
93553,Deprivation score (IMD 2019),nE38000030,Persons,All ages,13.906,,,20150000
93553,Deprivation score (IMD 2019),nE38000034,Persons,All ages,17.451,,,20150000
93553,Deprivation score (IMD 2019),nE38000044,Persons,All ages,29.051,,,20150000
93553,Deprivation score (IMD 2019),nE38000045,Persons,All ages,16.384,,,20150000
93553,Deprivation score (IMD 2019),nE38000049,Persons,All ages,13.136,,,20150000
93553,Deprivation score (IMD 2019),nE38000050,Persons,All ages,28.102,,,20150000
93553,Deprivation score (IMD 2019),nE38000051,Persons,All ages,10.972,,,20150000
93553,Deprivation score (IMD 2019),nE38000052,Persons,All ages,16.25,,,20150000
93553,Deprivation score (IMD 2019),nE38000053,Persons,All ages,18.017,,,20150000
93553,Deprivation score (IMD 2019),nE38000062,Persons,All ages,15.014,,,20150000
93553,Deprivation score (IMD 2019),nE38000068,Persons,All ages,31.943,,,20150000
93553,Deprivation score (IMD 2019),nE38000079,Persons,All ages,11.411,,,20150000
93553,Deprivation score (IMD 2019),nE38000080,Persons,All ages,33.684,,,20150000
93553,Deprivation score (IMD 2019),nE38000085,Persons,All ages,41.235,,,20150000
93553,Deprivation score (IMD 2019),nE38000086,Persons,All ages,17.395,,,20150000
93553,Deprivation score (IMD 2019),nE38000089,Persons,All ages,23.784,,,20150000
93553,Deprivation score (IMD 2019),nE38000091,Persons,All ages,41.387,,,20150000
93553,Deprivation score (IMD 2019),nE38000097,Persons,All ages,33.065,,,20150000
93553,Deprivation score (IMD 2019),nE38000101,Persons,All ages,41.126,,,20150000
93553,Deprivation score (IMD 2019),nE38000106,Persons,All ages,13.889,,,20150000
93553,Deprivation score (IMD 2019),nE38000117,Persons,All ages,22.003,,,20150000
93553,Deprivation score (IMD 2019),nE38000119,Persons,All ages,30.898,,,20150000
93553,Deprivation score (IMD 2019),nE38000122,Persons,All ages,21.363,,,20150000
93553,Deprivation score (IMD 2019),nE38000126,Persons,All ages,17.322,,,20150000
93553,Deprivation score (IMD 2019),nE38000127,Persons,All ages,21.279,,,20150000
93553,Deprivation score (IMD 2019),nE38000130,Persons,All ages,20.525,,,20150000
93553,Deprivation score (IMD 2019),nE38000135,Persons,All ages,30.291,,,20150000
93553,Deprivation score (IMD 2019),nE38000136,Persons,All ages,11.613,,,20150000
93553,Deprivation score (IMD 2019),nE38000137,Persons,All ages,27.054,,,20150000
93553,Deprivation score (IMD 2019),nE38000141,Persons,All ages,28.279,,,20150000
93553,Deprivation score (IMD 2019),nE38000143,Persons,All ages,32.959,,,20150000
93553,Deprivation score (IMD 2019),nE38000146,Persons,All ages,27.568,,,20150000
93553,Deprivation score (IMD 2019),nE38000150,Persons,All ages,17.783,,,20150000
93553,Deprivation score (IMD 2019),nE38000153,Persons,All ages,15.02,,,20150000
93553,Deprivation score (IMD 2019),nE38000161,Persons,All ages,30.999,,,20150000
93553,Deprivation score (IMD 2019),nE38000163,Persons,All ages,30.608,,,20150000
93553,Deprivation score (IMD 2019),nE38000168,Persons,All ages,24.516,,,20150000
93553,Deprivation score (IMD 2019),nE38000170,Persons,All ages,18.401,,,20150000
93553,Deprivation score (IMD 2019),nE38000172,Persons,All ages,29.809,,,20150000
93553,Deprivation score (IMD 2019),nE38000173,Persons,All ages,13.147,,,20150000
93553,Deprivation score (IMD 2019),nE38000174,Persons,All ages,19.108,,,20150000
93553,Deprivation score (IMD 2019),nE38000175,Persons,All ages,33.579,,,20150000
93553,Deprivation score (IMD 2019),nE38000176,Persons,All ages,29.725,,,20150000
93553,Deprivation score (IMD 2019),nE38000185,Persons,All ages,21.603,,,20150000
93553,Deprivation score (IMD 2019),nE38000187,Persons,All ages,15.388,,,20150000
93553,Deprivation score (IMD 2019),nE38000188,Persons,All ages,12.277,,,20150000
93553,Deprivation score (IMD 2019),nE38000190,Persons,All ages,26.892,,,20150000
93553,Deprivation score (IMD 2019),nE38000194,Persons,All ages,19.312,,,20150000
93553,Deprivation score (IMD 2019),nE38000197,Persons,All ages,16.06,,,20150000
