area_name.x,area_code,diabetes_qof_prevalence_17_yrs_17_yrs_persons,percentage_of_people_with_type_2_diabetes_aged_under_40_all_ages_persons,percentage_of_people_with_type_2_diabetes_aged_40_to_64_all_ages_persons,percentage_of_people_with_type_2_diabetes_aged_65_to_79_all_ages_persons,percentage_of_people_with_type_2_diabetes_aged_80_and_over_all_ages_persons,percentage_of_people_with_type_2_diabetes_recorded_as_male_all_ages_persons,percentage_of_people_with_type_2_diabetes_recorded_as_female_all_ages_persons,percentage_of_people_with_type_2_diabetes_recorded_as_white_all_ages_persons,percentage_of_people_with_type_2_diabetes_recorded_as_minority_ethnic_origin_all_ages_persons,people_with_type_2_diabetes_who_received_a_blood_glucose_test_all_ages_persons,people_with_type_2_diabetes_who_received_all_8_care_processes_all_ages_persons,people_with_type_2_diabetes_who_achieved_all_three_treatment_targets_all_ages_persons,people_with_type_2_diabetes_who_achieved_a_blood_glucose_level_of_48_mmol_mol_or_less_all_ages_persons,people_with_type_2_diabetes_who_achieved_a_blood_glucose_level_of_58_mmol_mol_or_less_all_ages_persons,people_with_type_2_diabetes_who_achieved_a_blood_glucose_level_of_86_mmol_mol_or_less_all_ages_persons,percentage_of_people_with_type_2_diabetes_who_were_offered_the_diabetes_structured_education_programme_within_12_months_of_diagnosis_all_ages_persons,percentage_of_people_with_type_2_diabetes_who_attended_the_diabetes_structured_education_programme_within_12_months_of_diagnosis_all_ages_persons,area_name.y,value
South Yorkshire ICB - 02P ,nE38000006,7.85053651036222,3.84492149951938,42.4543415571932,40.2435116949696,13.4572252483178,56.392181992951,43.607818007049,96.8920217878885,1.63409163729574,86.1262415892342,39.0900352451137,37.9965457685665,30.986964618249502,62.3836126629423,91.6945996275605,69.00584795,10.52631579,South Yorkshire ICB - 02P ,29.568
Mid and South Essex ICB - 99E ,nE38000007,6.65237292433065,3.79373848987109,42.9097605893186,38.0478821362799,15.2117863720074,56.390423572744,43.609576427256,69.8710865561694,16.7219152854512,85.7090239410681,20,38.1006218202374,36.1757105943152,67.1403962101637,93.7984496124031,72.5,3.125,Mid and South Essex ICB - 99E ,19.559
Nottingham and Nottinghamshire ICB - 02Q ,nE38000008,8.20793850908943,2.88590604026846,38.7248322147651,42.1476510067114,16.241610738255,56.7785234899329,43.2214765100671,82.2818791946309,2.68456375838926,85.503355704698,38.5906040268456,37.2745490981964,33.2285938727416,64.4933228593873,93.6370777690495,68.42105263,7.01754386,Nottingham and Nottinghamshire ICB - 02Q ,22.729
Lancashire and South Cumbria ICB - 00Q ,nE38000014,8.82728933892833,5.48236294092648,50.148746281343,33.6166595835104,10.7522311942201,53.7611559711007,46.1963450913727,53.2086697832554,43.0939226519337,85.3803654908627,54.4836379090523,34.5735546651402,30.7039440838742,61.7074388417374,92.2616075886171,68.51851852,7.407407407,Lancashire and South Cumbria ICB - 00Q ,34.189
Lancashire and South Cumbria ICB - 00R ,nE38000015,8.24702723436901,3.65853658536585,45.16711833785,37.6693766937669,13.5049683830172,57.6332429990967,42.3667570009033,91.1924119241192,3.74887082204155,80.6684733514002,37.6693766937669,36.3823933975241,32.6977005047672,60.9085810431856,90.6898485698261,71.42857143,2.857142857,Lancashire and South Cumbria ICB - 00R ,41.997
Greater Manchester ICB - 00T ,nE38000016,8.60490573687411,5.14477766287487,47.5180972078594,35.4963805584281,11.8407445708376,55.2481902792141,44.7518097207859,63.8831437435367,30.635987590486,81.7218200620476,26.3702171664943,36.6574694521088,32.5374084686406,62.4323463865011,90.2260426615727,59.5959596,0.505050505,Greater Manchester ICB - 00T ,28.42
Sussex ICB - 09D ,nE38000021,4.26544067753559,3.92620624408704,44.4654683065279,36.1873226111637,15.4210028382214,58.2308420056764,41.7218543046358,66.4616840113529,13.7653736991485,84.5316934720908,36.0454115421003,32.9710144927536,32.8821206993796,63.6773829667231,91.9345741680767,62.29508197,9.016393443,Sussex ICB - 09D ,23.441
Greater Manchester ICB - 00V ,nE38000024,7.37818038118977,3.89479008598887,44.1072331815883,37.4810318664643,14.5169448659585,56.398583712696,43.601416287304,58.9782498735458,14.8204350025291,81.9423368740516,37.1269600404653,37.0153621068032,33.1467661691542,63.5572139303483,92.1019900497512,61.44578313,4.819277108,Greater Manchester ICB - 00V ,21.769
West Yorkshire ICB - 02T ,nE38000025,7.49154126343405,4.54726765057838,44.5951336258476,37.5349022736338,13.3226964499402,56.0430793777423,43.9569206222577,76.82489030714,16.9126445951336,81.6912644595134,18.1092939768648,32.9619921363041,27.6908023483366,62.133072407045,90.8023483365949,67.88321168,2.919708029,West Yorkshire ICB - 02T ,24.607
Staffordshire and Stoke-on-Trent ICB - 04Y ,nE38000028,8.01570675880331,2.8673835125448,41.1589008363202,41.0394265232975,14.9342891278375,56.0334528076464,43.9665471923536,88.8888888888889,1.97132616487455,81.3620071684588,23.4767025089606,39.753320683112,34.1132075471698,62.6415094339623,92.0754716981132,72.72727273,6.060606061,Staffordshire and Stoke-on-Trent ICB - 04Y ,19.676
Mid and South Essex ICB - 99F ,nE38000030,7.47799624854073,2.16972034715526,36.1620057859209,44.6480231436837,17.0202507232401,57.907425265188,42.1407907425265,78.6403085824494,4.86981677917068,83.3654773384764,20.0578592092575,36.5892714171337,36.9212962962963,68.0555555555556,94.3865740740741,66.66666667,14.52991453,Mid and South Essex ICB - 99F ,13.906
Lancashire and South Cumbria ICB - 00X ,nE38000034,6.80506583204575,2.61780104712042,38.5340314136126,42.6178010471204,16.282722513089,56.1256544502618,43.9267015706806,86.2303664921466,3.08900523560209,83.5078534031414,29.1623036649215,37.037037037037,33.2704402515723,63.3962264150943,91.6981132075472,65.78947368,3.947368421,Lancashire and South Cumbria ICB - 00X ,17.451
