DomainName,AreaType,variable,n,min,max,median,q1,q3,iqr,mad,mean,sd,se,ci
A. Overarching indicators,Counties & UAs (2020/21),Healthy life expectancy at birth All ages Male,1479,52.952,74.65,62.611,60.003,64.998,4.995,3.693,62.528,3.392,0.088,0.173
A. Overarching indicators,Counties & UAs (2020/21),Healthy life expectancy at birth All ages Female,1479,53.487,72.16,63.109,60.033,65.842,5.809,4.332,63.025,3.62,0.094,0.185
A. Overarching indicators,Counties & UAs (2020/21),Life expectancy at birth All ages Male,3266,71.725,83.63,78.272,76.934,79.682,2.748,2.058,78.218,1.939,0.034,0.067
A. Overarching indicators,Counties & UAs (2020/21),Life expectancy at birth All ages Female,3266,77.696,87.02,82.309,81.16,83.493,2.333,1.735,82.282,1.614,0.028,0.055
A. Overarching indicators,Counties & UAs (2020/21),Life expectancy at 65 65 Male,3269,14.236,21.2,17.91,17.025,18.8,1.775,1.32,17.869,1.231,0.022,0.042
A. Overarching indicators,Counties & UAs (2020/21),Life expectancy at 65 65 Female,3269,17.151,23.83,20.5,19.693,21.36,1.667,1.239,20.492,1.155,0.02,0.04
A. Overarching indicators,Counties & UAs (2020/21),Inequality in healthy life expectancy at birth LA All ages Male,146,3.839,24.562,12.774,10.327,15.249,4.922,3.657,12.889,3.77,0.312,0.617
A. Overarching indicators,Counties & UAs (2020/21),Inequality in healthy life expectancy at birth LA All ages Female,146,2.834,22.101,12.554,10.397,14.979,4.582,3.585,12.671,3.749,0.31,0.613
A. Overarching indicators,Counties & UAs (2020/21),Inequality in life expectancy at birth All ages Male,1330,2.6,17.1,8.4,6.6,10.175,3.575,2.669,8.527,2.349,0.064,0.126
A. Overarching indicators,Counties & UAs (2020/21),Inequality in life expectancy at birth All ages Female,1331,1.2,14.3,6.4,4.9,8.1,3.2,2.372,6.544,2.17,0.059,0.117
A. Overarching indicators,Counties & UAs (2020/21),Inequality in life expectancy at 65 65 Male,1330,0.6,12.7,4.6,3.6,5.5,1.9,1.483,4.617,1.485,0.041,0.08
A. Overarching indicators,Counties & UAs (2020/21),Inequality in life expectancy at 65 65 Female,1330,-0.6,9.7,4,2.9,5.2,2.3,1.631,4.115,1.667,0.046,0.09
A. Overarching indicators,Counties & UAs (2020/21),Healthy life expectancy at 65 65 Male,1479,4.869,16.762,9.951,8.599,11.159,2.56,1.902,9.922,1.72,0.045,0.088
A. Overarching indicators,Counties & UAs (2020/21),Healthy life expectancy at 65 65 Female,1479,5.2,17.848,10.519,9.133,11.79,2.657,1.967,10.49,1.845,0.048,0.094
A. Overarching indicators,Counties & UAs (2020/21),Disability-free life expectancy at 65 65 Male,744,5.216,15.09,9.566,8.48,10.658,2.178,1.621,9.617,1.479,0.054,0.106
A. Overarching indicators,Counties & UAs (2020/21),Disability-free life expectancy at 65 65 Female,744,5.99,15.964,9.66,8.497,10.704,2.207,1.614,9.618,1.569,0.058,0.113
A. Overarching indicators,Counties & UAs (2020/21),Disability free life expectancy at birth All ages Male,742,52.71,71.175,62.148,59.595,64.606,5.011,3.704,62.133,3.386,0.124,0.244
A. Overarching indicators,Counties & UAs (2020/21),Disability free life expectancy at birth All ages Female,742,49.89,70.31,61.29,58.567,63.331,4.764,3.492,61.079,3.447,0.127,0.248
A. Overarching indicators,Counties & UAs (2021/22-2022/23),Healthy life expectancy at birth All ages Male,1472,52.952,74.65,62.589,59.997,64.995,4.998,3.71,62.516,3.396,0.089,0.174
A. Overarching indicators,Counties & UAs (2021/22-2022/23),Healthy life expectancy at birth All ages Female,1472,53.487,72.16,63.098,60.021,65.841,5.82,4.347,63.016,3.626,0.095,0.185
A. Overarching indicators,Counties & UAs (2021/22-2022/23),Life expectancy at birth All ages Male,2982,71.725,83.33,78.23,76.869,79.62,2.751,2.046,78.164,1.934,0.035,0.069
A. Overarching indicators,Counties & UAs (2021/22-2022/23),Life expectancy at birth All ages Female,2982,77.696,86.54,82.28,81.12,83.44,2.32,1.72,82.232,1.594,0.029,0.057
A. Overarching indicators,Counties & UAs (2021/22-2022/23),Life expectancy at 65 65 Male,2982,14.236,21.2,17.86,16.98,18.74,1.76,1.305,17.816,1.229,0.022,0.044
A. Overarching indicators,Counties & UAs (2021/22-2022/23),Life expectancy at 65 65 Female,2982,17.151,23.81,20.468,19.652,21.3,1.648,1.219,20.447,1.145,0.021,0.041
A. Overarching indicators,Counties & UAs (2021/22-2022/23),Inequality in life expectancy at 65 65 Male,1324,0.6,12.7,4.6,3.6,5.5,1.9,1.483,4.618,1.488,0.041,0.08
A. Overarching indicators,Counties & UAs (2021/22-2022/23),Inequality in life expectancy at 65 65 Female,1324,-0.6,9.7,4,2.9,5.2,2.3,1.631,4.118,1.67,0.046,0.09
A. Overarching indicators,Counties & UAs (2021/22-2022/23),Healthy life expectancy at 65 65 Male,1472,4.869,16.762,9.945,8.591,11.161,2.57,1.901,9.917,1.722,0.045,0.088
A. Overarching indicators,Counties & UAs (2021/22-2022/23),Healthy life expectancy at 65 65 Female,1472,5.2,17.848,10.503,9.128,11.79,2.662,1.981,10.487,1.848,0.048,0.095
A. Overarching indicators,Counties & UAs (2021/22-2022/23),Disability-free life expectancy at 65 65 Male,742,5.216,15.09,9.562,8.472,10.656,2.184,1.623,9.615,1.48,0.054,0.107
A. Overarching indicators,Counties & UAs (2021/22-2022/23),Disability-free life expectancy at 65 65 Female,742,5.99,15.964,9.67,8.485,10.71,2.225,1.631,9.619,1.573,0.058,0.113
A. Overarching indicators,Counties & UAs (2021/22-2022/23),Disability free life expectancy at birth All ages Male,740,52.71,71.175,62.13,59.586,64.617,5.032,3.726,62.129,3.389,0.125,0.245
A. Overarching indicators,Counties & UAs (2021/22-2022/23),Disability free life expectancy at birth All ages Female,740,49.89,70.31,61.271,58.563,63.323,4.76,3.507,61.07,3.45,0.127,0.249
A. Overarching indicators,Counties & UAs (from Apr 2023),Healthy life expectancy at birth All ages Male,1462,52.952,74.65,62.587,59.968,65.004,5.036,3.727,62.515,3.407,0.089,0.175
A. Overarching indicators,Counties & UAs (from Apr 2023),Healthy life expectancy at birth All ages Female,1462,53.487,72.16,63.071,60.01,65.834,5.824,4.359,63.002,3.633,0.095,0.186
A. Overarching indicators,Counties & UAs (from Apr 2023),Life expectancy at birth All ages Male,3260,71.725,83.63,78.3,76.946,79.7,2.754,2.046,78.229,1.942,0.034,0.067
A. Overarching indicators,Counties & UAs (from Apr 2023),Life expectancy at birth All ages Female,3260,77.696,87.02,82.33,81.163,83.496,2.333,1.73,82.289,1.615,0.028,0.055
